# sample_id: compound number in the SI
# fc_gap: vertical excitation energy in eV (frozen core approximation)
# fluo_peak_w: emission energy in eV
# fc_corr: energy difference between vertical excitation energy and emission energy in eV
# osc_strength: oscillator strength of vertical transition
# fluo_rate_abs: fluorescence rate estimated from oscillator strength and excitation energy of vertical transition, in 1e6 s-1
# fluo_rate_em: fluorescence rate estimated from Franck-Condon calculations, in 1e6 s-1
sample_id,fc_gap,fluo_peak_w,fc_corr,osc_strength,fluo_rate_abs,fluo_rate_em
S100,1.789490e+00,1.648739e+00,1.407508e-01,5.377709e-04,7.472491e-02,5.066337e-02
S101,2.387018e+00,1.343129e+00,1.043890e+00,8.907860e-04,2.202391e-01,3.843103e-02
S102,1.860537e+00,1.767252e+00,9.328509e-02,2.573678e-03,3.865811e-01,3.044476e-01
S103,2.261554e+00,1.764474e+00,4.970802e-01,7.175957e-06,1.592587e-03,7.179506e-04
S104,2.164006e+00,1.711540e+00,4.524666e-01,4.469024e-09,9.081119e-07,4.316165e-07
S105,1.345855e+00,1.280266e+00,6.558871e-02,2.829295e-05,2.223741e-03,1.765506e-03
S106,1.329022e+00,1.183634e+00,1.453878e-01,1.614155e-05,1.237142e-03,7.217336e-04
S107,1.568460e+00,1.481402e+00,8.705743e-02,2.012703e-03,2.148503e-01,1.651071e-01
S108,1.282251e+00,8.065646e-01,4.756863e-01,4.134926e-04,2.950009e-02,5.708203e-03
S109,1.520725e+00,1.447977e+00,7.274811e-02,1.433208e-03,1.438203e-01,1.146372e-01
S110,1.266424e+00,7.630713e-01,5.033532e-01,4.591282e-04,3.195230e-02,4.956303e-03
S111,1.438286e+00,1.371948e+00,6.633822e-02,5.463910e-04,4.904603e-02,3.937550e-02
S112,1.243355e+00,1.004740e+00,2.386146e-01,2.524839e-04,1.693688e-02,5.911762e-03
S113,1.383888e+00,1.316602e+00,6.728607e-02,7.893310e-05,6.559495e-03,5.254692e-03
S114,1.245109e+00,1.091353e+00,1.537557e-01,4.420420e-04,2.973635e-02,1.603564e-02
S115,1.334999e+00,1.267724e+00,6.727497e-02,3.079214e-06,2.381285e-04,1.879688e-04
S116,1.267631e+00,1.183084e+00,8.454686e-02,1.438408e-04,1.002945e-02,7.313591e-03
S117,1.322060e+00,1.254245e+00,6.781418e-02,5.092638e-07,3.862375e-05,3.050376e-05
S118,1.275872e+00,1.200648e+00,7.522459e-02,1.736418e-04,1.226530e-02,9.300292e-03
S119,1.595882e+00,1.481948e+00,1.139331e-01,2.532281e-03,2.798483e-01,2.052727e-01
S120,1.253713e+00,1.087007e+00,1.667063e-01,2.458787e-04,1.676975e-02,8.627712e-03
S121,1.185591e+00,1.045157e+00,1.404343e-01,1.158463e-03,7.065808e-02,3.941970e-02
S122,1.309113e+00,1.213023e+00,9.608945e-02,6.736294e-04,5.009387e-02,3.666259e-02
S123,9.745955e-01,8.027002e-01,1.718953e-01,2.426108e-03,9.999276e-02,4.120885e-02
S124,1.562027e+00,1.474660e+00,8.736725e-02,6.402735e-04,6.778790e-02,5.203363e-02
S125,1.170048e+00,1.095437e+00,7.461144e-02,6.256678e-04,3.716728e-02,2.764299e-02
S126,1.331567e+00,1.254480e+00,7.708706e-02,7.655809e-04,5.890151e-02,4.515112e-02
S127,1.208458e+00,1.134877e+00,7.358173e-02,4.482623e-04,2.840568e-02,2.134159e-02
S128,1.327684e+00,1.254707e+00,7.297624e-02,6.314913e-04,4.830211e-02,3.755863e-02
S129,1.118267e+00,1.035000e+00,8.326694e-02,1.149394e-03,6.236910e-02,4.396478e-02
S130,1.425121e+00,1.331145e+00,9.397522e-02,6.571041e-04,5.790912e-02,4.236230e-02
S131,1.584308e+00,1.511355e+00,7.295298e-02,2.419111e-03,2.634780e-01,2.129013e-01
S132,1.270503e+00,1.198131e+00,7.237214e-02,5.498994e-05,3.851626e-03,2.961983e-03
S133,1.004660e+00,9.101747e-01,9.448554e-02,1.877143e-03,8.221392e-02,5.278464e-02
S134,1.540238e+00,1.443873e+00,9.636562e-02,7.574471e-04,7.797184e-02,5.799963e-02
S135,1.271895e+00,1.168541e+00,1.033536e-01,1.084957e-04,7.615961e-03,5.175363e-03
S136,1.361764e+00,1.291282e+00,7.048166e-02,2.504371e-04,2.015171e-02,1.586401e-02
S137,8.681179e-01,7.217863e-01,1.463316e-01,2.481148e-03,8.113713e-02,3.549009e-02
S138,1.597990e+00,1.485321e+00,1.126696e-01,1.038442e-03,1.150642e-01,8.206320e-02
S139,1.223918e+00,1.145875e+00,7.804312e-02,2.695786e-04,1.752264e-02,1.309494e-02
S140,1.404396e+00,1.328100e+00,7.629543e-02,1.326519e-04,1.135277e-02,8.758426e-03
S141,2.929495e+00,2.858951e+00,7.054402e-02,1.223891e-04,4.557619e-02,4.065329e-02
S142,3.241003e+00,3.155480e+00,8.552241e-02,7.748946e-03,3.531921e+00,3.113952e+00
S143,3.149677e+00,3.069713e+00,7.996380e-02,4.146919e-03,1.785119e+00,1.583056e+00
S144,3.054861e+00,2.981319e+00,7.354181e-02,1.595480e-03,6.460763e-01,5.769831e-01
S145,2.996918e+00,2.929774e+00,6.714400e-02,4.724431e-04,1.841234e-01,1.655193e-01
S146,2.943741e+00,2.872415e+00,7.132639e-02,9.576677e-05,3.601005e-02,3.212772e-02
S147,2.932519e+00,2.860569e+00,7.194977e-02,4.957715e-05,1.850005e-02,1.648268e-02
S148,3.277041e+00,3.187876e+00,8.916495e-02,8.937913e-03,4.164947e+00,3.656429e+00
S149,2.818411e+00,2.729939e+00,8.847180e-02,3.683920e-04,1.269780e-01,1.095071e-01
S150,2.654771e+00,2.535711e+00,1.190601e-01,2.470257e-03,7.554501e-01,6.095790e-01
S151,2.773764e+00,2.687406e+00,8.635821e-02,7.331481e-04,2.447599e-01,2.111578e-01
S152,2.828298e+00,2.745030e+00,8.326841e-02,3.375101e-04,1.171512e-01,1.018314e-01
S153,2.728919e+00,2.627042e+00,1.018778e-01,1.457830e-03,4.710834e-01,3.944646e-01
S154,3.291107e+00,3.203241e+00,8.786613e-02,8.836869e-03,4.153288e+00,3.655078e+00
S155,2.704534e+00,2.602967e+00,1.015667e-01,1.401865e-03,4.449394e-01,3.717857e-01
S156,2.715804e+00,2.155381e+00,5.604237e-01,4.606309e-02,1.474211e+01,7.316868e+00
S157,2.838817e+00,2.749022e+00,8.979468e-02,2.226078e-04,7.784392e-02,6.722106e-02
S158,2.832463e+00,2.752247e+00,8.021584e-02,1.835415e-04,6.389583e-02,5.591828e-02
S159,1.867947e+00,1.794592e+00,7.335481e-02,2.680026e-03,4.057680e-01,3.378353e-01
S160,1.880619e+00,1.809533e+00,7.108626e-02,5.600449e-03,8.594764e-01,7.193252e-01
S161,1.822739e+00,1.726610e+00,9.612956e-02,3.676337e-03,5.299977e-01,4.128265e-01
S162,1.815532e+00,1.725224e+00,9.030885e-02,3.699069e-03,5.290662e-01,4.174500e-01
S163,2.103687e+00,1.994016e+00,1.096716e-01,4.759352e-05,9.139445e-03,7.179083e-03
S164,2.129256e+00,2.008923e+00,1.203327e-01,1.253918e-02,2.466803e+00,1.909461e+00
S165,1.711524e+00,1.519895e+00,1.916293e-01,6.195528e-03,7.875061e-01,4.538717e-01
S166,1.684988e+00,1.478220e+00,2.067679e-01,3.139601e-03,3.867923e-01,2.152975e-01
S167,2.038791e+00,1.957001e+00,8.179005e-02,3.193934e-04,5.760775e-02,4.769767e-02
S168,2.078714e+00,1.984355e+00,9.435966e-02,1.026779e-02,1.925202e+00,1.549036e+00
S169,1.736136e+00,1.567652e+00,1.684834e-01,4.864881e-03,6.362811e-01,4.063091e-01
S170,1.685975e+00,1.500177e+00,1.857980e-01,3.714117e-03,4.581073e-01,2.637096e-01
S171,1.951681e+00,1.878294e+00,7.338639e-02,1.137588e-03,1.880235e-01,1.574369e-01
S172,1.983841e+00,1.897041e+00,8.680086e-02,6.399091e-03,1.092803e+00,8.885783e-01
S173,1.729101e+00,1.623419e+00,1.056821e-01,5.258810e-03,6.822411e-01,5.082504e-01
S174,1.728814e+00,1.609729e+00,1.190857e-01,3.825544e-03,4.961347e-01,3.557195e-01
S175,1.900338e+00,1.830951e+00,6.938702e-02,2.364428e-03,3.705079e-01,3.128063e-01
S176,1.924164e+00,1.847858e+00,7.630620e-02,6.991912e-03,1.123284e+00,9.315010e-01
S177,1.839635e+00,1.741151e+00,9.848406e-02,3.976150e-03,5.838965e-01,4.642908e-01
S178,1.858059e+00,1.750179e+00,1.078803e-01,2.331039e-03,3.492033e-01,2.741510e-01
S179,1.846944e+00,1.779426e+00,6.751730e-02,3.201694e-03,4.739109e-01,3.992040e-01
S180,1.877946e+00,1.798436e+00,7.951005e-02,4.798732e-03,7.343486e-01,6.010002e-01
S181,1.765708e+00,1.689847e+00,7.586136e-02,5.077286e-03,6.868771e-01,5.620381e-01
S182,1.771206e+00,1.690708e+00,8.049789e-02,2.348195e-03,3.196550e-01,2.578800e-01
S183,1.833806e+00,1.764178e+00,6.962772e-02,3.485903e-03,5.086646e-01,4.264668e-01
S184,1.867323e+00,1.784662e+00,8.266019e-02,5.070287e-03,7.671509e-01,6.231079e-01
S185,1.772114e+00,1.700438e+00,7.167588e-02,5.215922e-03,7.107613e-01,5.877767e-01
S186,1.779396e+00,1.702251e+00,7.714474e-02,2.175187e-03,2.988488e-01,2.435577e-01
S187,2.136805e+00,2.048578e+00,8.822695e-02,2.578111e-05,5.107884e-03,4.195315e-03
S188,2.181749e+00,2.082159e+00,9.959024e-02,1.522697e-02,3.145088e+00,2.525191e+00
S189,1.744584e+00,1.635829e+00,1.087543e-01,5.831380e-03,7.701308e-01,5.733084e-01
S190,1.696565e+00,1.467346e+00,2.292189e-01,2.611746e-03,3.261982e-01,1.633199e-01
S191,1.691565e+00,1.603654e+00,8.791043e-02,7.167779e-03,8.899618e-01,6.974438e-01
S192,1.773851e+00,1.681286e+00,9.256441e-02,9.308528e-03,1.270939e+00,9.908855e-01
S193,1.780868e+00,1.686703e+00,9.416491e-02,6.783993e-03,9.335951e-01,7.407567e-01
S194,1.772418e+00,1.668941e+00,1.034776e-01,8.334788e-04,1.136152e-01,8.885922e-02
S195,1.472367e+00,1.374976e+00,9.739055e-02,1.139008e-02,1.071441e+00,7.861778e-01
S196,1.604997e+00,1.466368e+00,1.386284e-01,7.631428e-03,8.530288e-01,5.594487e-01
S197,1.932641e+00,1.834393e+00,9.824797e-02,5.985503e-03,9.700909e-01,7.622844e-01
S198,1.940797e+00,1.840753e+00,1.000445e-01,4.833377e-04,7.899880e-02,6.172319e-02
S199,1.686541e+00,1.617612e+00,6.892892e-02,6.965576e-03,8.597263e-01,7.107906e-01
S200,1.714292e+00,1.629448e+00,8.484403e-02,6.125491e-03,7.811241e-01,6.185203e-01
S201,1.802510e+00,1.728589e+00,7.392071e-02,7.489271e-03,1.055855e+00,8.707196e-01
S202,1.799500e+00,1.723152e+00,7.634794e-02,6.298229e-04,8.849761e-02,7.250882e-02
S203,1.714899e+00,1.646375e+00,6.852349e-02,6.402033e-03,8.169671e-01,6.780725e-01
S204,1.762206e+00,1.675968e+00,8.623817e-02,5.181732e-03,6.982293e-01,5.549216e-01
S205,1.801703e+00,1.731146e+00,7.055728e-02,6.832211e-03,9.623596e-01,8.005988e-01
S206,1.813009e+00,1.733060e+00,7.994890e-02,8.268806e-04,1.179375e-01,9.651968e-02
S207,1.622519e+00,1.545794e+00,7.672591e-02,8.805603e-03,1.005885e+00,8.083309e-01
S208,1.676947e+00,1.577257e+00,9.968928e-02,4.697050e-03,5.731565e-01,4.292938e-01
S209,1.874442e+00,1.796635e+00,7.780749e-02,6.121768e-03,9.333201e-01,7.685200e-01
S210,1.900132e+00,1.816137e+00,8.399523e-02,5.973421e-04,9.358374e-02,7.606040e-02
S211,2.117396e+00,2.032434e+00,8.496156e-02,1.027609e-05,1.999133e-03,1.654118e-03
S212,2.167157e+00,2.084224e+00,8.293340e-02,1.654256e-02,3.371267e+00,2.809910e+00
S213,1.757829e+00,1.643975e+00,1.138543e-01,5.525136e-03,7.408085e-01,5.455307e-01
S214,1.745486e+00,1.618464e+00,1.270222e-01,2.340686e-03,3.094464e-01,2.205753e-01
S215,1.524541e+00,1.440808e+00,8.373383e-02,9.906460e-03,9.990944e-01,7.694206e-01
S216,1.605800e+00,1.498782e+00,1.070176e-01,6.383413e-03,7.142419e-01,5.197816e-01
S217,1.957782e+00,1.876889e+00,8.089323e-02,5.613801e-03,9.336741e-01,7.681737e-01
S218,2.004613e+00,1.910155e+00,9.445759e-02,4.841264e-04,8.441687e-02,6.753361e-02
S219,1.778381e+00,1.700880e+00,7.750111e-02,4.355504e-03,5.977200e-01,4.867768e-01
S220,1.831850e+00,1.752436e+00,7.941458e-02,5.526584e-03,8.047228e-01,6.556505e-01
S221,1.848640e+00,1.775762e+00,7.287773e-02,4.541038e-03,6.733942e-01,5.595850e-01
S222,1.847285e+00,1.771222e+00,7.606271e-02,1.695414e-03,2.510459e-01,2.078098e-01
S223,1.379521e+00,1.248347e+00,1.311745e-01,1.064100e-02,8.787163e-01,5.507373e-01
S224,1.581239e+00,1.438821e+00,1.424183e-01,6.481800e-03,7.032349e-01,4.527160e-01
S225,1.995292e+00,1.905174e+00,9.011872e-02,4.847700e-03,8.374490e-01,6.753965e-01
S226,2.038827e+00,1.935231e+00,1.035961e-01,4.447032e-04,8.021226e-02,6.283522e-02
S227,1.737384e+00,1.663138e+00,7.424591e-02,5.593681e-03,7.326538e-01,6.008383e-01
S228,1.784019e+00,1.694957e+00,8.906254e-02,3.487508e-03,4.816414e-01,3.807221e-01
S229,1.881580e+00,1.807856e+00,7.372373e-02,3.461577e-03,5.317760e-01,4.431374e-01
S230,1.914320e+00,1.834973e+00,7.934706e-02,2.403059e-03,3.821227e-01,3.146339e-01
S231,2.169212e+00,2.052665e+00,1.165461e-01,3.808395e-03,7.775984e-01,6.004479e-01
S232,2.189403e+00,2.063210e+00,1.261930e-01,7.639800e-03,1.589070e+00,1.202569e+00
S233,2.175924e+00,2.066153e+00,1.097706e-01,5.687264e-03,1.168423e+00,9.162718e-01
S234,2.096517e+00,1.995050e+00,1.014663e-01,5.162994e-03,9.847089e-01,7.804056e-01
S235,2.126042e+00,1.954559e+00,1.714833e-01,4.744310e-03,9.305215e-01,6.242494e-01
S236,2.136612e+00,1.977660e+00,1.589521e-01,4.965840e-03,9.836794e-01,6.812446e-01
S237,2.398817e+00,2.248366e+00,1.504510e-01,9.907849e-04,2.473905e-01,1.840420e-01
S238,2.381534e+00,2.231855e+00,1.496792e-01,1.302449e-02,3.205412e+00,2.426373e+00
S239,2.486815e+00,2.395512e+00,9.130230e-02,2.095167e-02,5.622312e+00,4.719959e+00
S240,1.931631e+00,1.781758e+00,1.498729e-01,8.608508e-03,1.393753e+00,9.864480e-01
S241,1.966318e+00,1.682903e+00,2.834148e-01,8.029172e-03,1.347062e+00,6.340690e-01
S242,2.009377e+00,1.722515e+00,2.868612e-01,5.763843e-03,1.009821e+00,4.987178e-01
S243,2.335950e+00,2.205223e+00,1.307265e-01,1.453103e-03,3.440591e-01,2.619525e-01
S244,2.319574e+00,2.206537e+00,1.130370e-01,9.360686e-03,2.185414e+00,1.727759e+00
S245,2.415704e+00,2.317499e+00,9.820511e-02,1.589587e-02,4.025144e+00,3.309696e+00
S246,1.943005e+00,1.837991e+00,1.050132e-01,9.551942e-03,1.564764e+00,1.215716e+00
S247,2.036678e+00,1.767168e+00,2.695093e-01,5.958410e-03,1.072468e+00,5.389898e-01
S248,2.033769e+00,1.782197e+00,2.515717e-01,6.586394e-03,1.182117e+00,6.254268e-01
S249,2.247381e+00,2.127667e+00,1.197144e-01,2.181031e-03,4.779967e-01,3.691840e-01
S250,2.238819e+00,2.133877e+00,1.049421e-01,5.540402e-03,1.205005e+00,9.633485e-01
S251,2.324405e+00,2.220415e+00,1.039896e-01,1.085120e-02,2.543963e+00,2.050189e+00
S252,2.009071e+00,1.912123e+00,9.694806e-02,7.564237e-03,1.324845e+00,1.051599e+00
S253,2.070658e+00,1.872099e+00,1.985593e-01,6.173067e-03,1.148490e+00,7.080257e-01
S254,2.040760e+00,1.852741e+00,1.880186e-01,5.328262e-03,9.628949e-01,6.053270e-01
S255,2.206222e+00,2.090810e+00,1.154129e-01,3.597889e-03,7.598992e-01,5.908347e-01
S256,2.191838e+00,2.088897e+00,1.029411e-01,1.090913e-02,2.274136e+00,1.818113e+00
S257,2.248198e+00,2.133343e+00,1.148552e-01,7.345380e-03,1.610990e+00,1.260068e+00
S258,1.992231e+00,1.883132e+00,1.090989e-01,7.695018e-03,1.325252e+00,1.022533e+00
S259,2.010556e+00,1.809731e+00,2.008243e-01,9.420614e-03,1.652422e+00,1.003609e+00
