S352 SC1=NC2=CC=CC3=NC=NC(=N1)N23
S353 SC1=CC=C2N=CN=C3N=CN=C1N23
S354 ClC1=CC2=NC=NC3=NC=NC(=C1)N23
S355 ClC1=CC=C2N=CN=C3N=CN=C1N23
S356 ClC1=NC2=CC=CC3=NC=NC(=N1)N23
S357 BrC1=CC2=NC=NC3=NC=NC(=C1)N23
S358 BrC1=NC2=CC=CC3=NC=NC(=N1)N23
S359 BrC1=CC=C2N=CN=C3N=CN=C1N23
S360 CNC1=CC2=NC=NC3=NC=NC(=C1)N23
S361 CNC1=NC2=CC=CC3=NC=NC(=N1)N23
S362 CNC1=CC=C2N=CN=C3N=CN=C1N23
S363 C=CC1=CC2=NC=NC3=NC=NC(=C1)N23
S364 C=CC1=NC2=CC=CC3=NC=NC(=N1)N23
S365 C=CC1=CC=C2N=CN=C3N=CN=C1N23
S366 O=CC1=CC2=NC=NC3=NC=NC(=C1)N23
S367 O=CC1=NC2=CC=CC3=NC=NC(=N1)N23
S368 O=CC1=CC=C2N=CN=C3N=CN=C1N23
S369 C#CC1=CC2=NC=NC3=NC=NC(=C1)N23
S370 C#CC1=NC2=CC=CC3=NC=NC(=N1)N23
S371 C#CC1=CC=C2N=CN=C3N=CN=C1N23
S372 [C-]#[N+]C1=CC2=NC=NC3=NC=NC(=C1)N23
S373 [C-]#[N+]C1=NC2=CC=CC3=NC=NC(=N1)N23
S374 [C-]#[N+]C1=CC=C2N=CN=C3N=CN=C1N23
S375 N#CC1=CC2=NC=NC3=NC=NC(=C1)N23
S376 N#CC1=NC2=CC=CC3=NC=NC(=N1)N23
S377 N#CC1=CC=C2N=CN=C3N=CN=C1N23
S378 CN(C)C1=CC2=NC=NC3=NC=NC(=C1)N23
S379 CN(C)C1=NC2=CC=CC3=NC=NC(=N1)N23
S380 CN(C)C1=CC=C2N=CN=C3N=CN=C1N23
S381 CC(=O)C1=CC2=NC=NC3=NC=NC(=C1)N23
S382 CC(=O)C1=NC2=CC=CC3=NC=NC(=N1)N23
S383 CC(=O)C1=CC=C2N=CN=C3N=CN=C1N23
S384 CS(=O)C1=CC2=NC=NC3=NC=NC(=C1)N23
S385 CS(=O)C1=NC2=CC=CC3=NC=NC(=N1)N23
S386 CS(=O)C1=CC=C2N=CN=C3N=CN=C1N23
S387 [O-][N+](=O)C1=CC2=NC=NC3=NC=NC(=C1)N23
S388 [O-][N+](=O)C1=NC2=CC=CC3=NC=NC(=N1)N23
S389 [O-][N+](=O)C1=CC=C2N=CN=C3N=CN=C1N23
S390 FC(F)(F)C1=CC2=NC=NC3=NC=NC(=C1)N23
S391 FC(F)(F)C1=NC2=CC=CC3=NC=NC(=N1)N23
S392 FC(F)(F)C1=CC=C2N=CN=C3N=CN=C1N23
S393 CC1=NC2=NC=NC3=NC=CC(=C1)N23
S394 CC1=NC2=NC=CC3=CC=NC(=N1)N23
S395 CC1=CN=C2N=CN=C3N=CC=C1N23
S396 NC1=NC2=NC=NC3=NC=CC(=C1)N23
S397 NC1=NC2=NC=CC3=CC=NC(=N1)N23
S398 NC1=CN=C2N=CN=C3N=CC=C1N23
S399 OC1=NC2=NC=NC3=NC=CC(=C1)N23
S400 OC1=NC2=NC=CC3=CC=NC(=N1)N23
S401 OC1=CN=C2N=CN=C3N=CC=C1N23
S402 FC1=NC2=NC=NC3=NC=CC(=C1)N23
S403 FC1=NC2=NC=CC3=CC=NC(=N1)N23
S404 FC1=CN=C2N=CN=C3N=CC=C1N23
S405 SC1=NC2=NC=NC3=NC=CC(=C1)N23
S406 SC1=NC2=NC=CC3=CC=NC(=N1)N23
S407 SC1=CN=C2N=CN=C3N=CC=C1N23
S408 ClC1=NC2=NC=NC3=NC=CC(=C1)N23
S409 ClC1=CN=C2N=CN=C3N=CC=C1N23
S410 ClC1=NC2=NC=CC3=CC=NC(=N1)N23
S411 BrC1=NC2=NC=NC3=NC=CC(=C1)N23
S412 BrC1=NC2=NC=CC3=CC=NC(=N1)N23
S413 BrC1=CN=C2N=CN=C3N=CC=C1N23
S414 CNC1=NC2=NC=NC3=NC=CC(=C1)N23
S415 CNC1=NC2=NC=CC3=CC=NC(=N1)N23
S416 CNC1=CN=C2N=CN=C3N=CC=C1N23
S417 C=CC1=NC2=NC=NC3=NC=CC(=C1)N23
S418 C=CC1=NC2=NC=CC3=CC=NC(=N1)N23
S419 C=CC1=CN=C2N=CN=C3N=CC=C1N23
S420 O=CC1=NC2=NC=NC3=NC=CC(=C1)N23
S421 O=CC1=NC2=NC=CC3=CC=NC(=N1)N23
S422 O=CC1=CN=C2N=CN=C3N=CC=C1N23
S423 C#CC1=NC2=NC=NC3=NC=CC(=C1)N23
S424 C#CC1=NC2=NC=CC3=CC=NC(=N1)N23
S425 C#CC1=CN=C2N=CN=C3N=CC=C1N23
S426 [C-]#[N+]C1=NC2=NC=NC3=NC=CC(=C1)N23
S427 [C-]#[N+]C1=NC2=NC=CC3=CC=NC(=N1)N23
S428 [C-]#[N+]C1=CN=C2N=CN=C3N=CC=C1N23
S429 N#CC1=NC2=NC=NC3=NC=CC(=C1)N23
S430 N#CC1=NC2=NC=CC3=CC=NC(=N1)N23
S431 N#CC1=CN=C2N=CN=C3N=CC=C1N23
S432 CN(C)C1=NC2=NC=NC3=NC=CC(=C1)N23
S433 CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N23
S434 CN(C)C1=CN=C2N=CN=C3N=CC=C1N23
S435 CC(=O)C1=NC2=NC=NC3=NC=CC(=C1)N23
S436 CC(=O)C1=NC2=NC=CC3=CC=NC(=N1)N23
